Channel,Mean,Zero Crossing Rate,Range,Energy,RMS,Variance
Channel 1,-0.0033846783452915227,13,0.10369880305796894,0.29085249171415456,0.02411856097341442,0.0005702489359272238
Channel 2,0.0018420098837056012,21,0.17193615551165303,0.7989783969547904,0.03997445176496584,0.0015945637934979117
Channel 3,-0.00039877537625155934,6,0.06298832534186224,0.10306862177927156,0.014357480404254193,0.00020597822175783852
Channel 4,0.0014085989357864501,6,0.08407598658761165,0.18576920844865075,0.019275331823273536,0.00036955426593540273
Channel 5,0.0024823911913478664,10,0.12371834832166159,0.3824430615208687,0.02765657468020466,0.0007587238570148559
Channel 6,0.003183685627566857,10,0.15625010937516215,0.7464430227307919,0.038637883553082765,0.0014827501912864078
Channel 7,-0.005074376793706362,5,0.12579354508680046,0.6085739290056668,0.03488764620910006,0.0011913985581668278
Channel 8,-0.006182287725494622,19,0.07821660748604309,0.1871735233594654,0.019348050204579553,0.00033612636519812935
Channel 9,-0.0009526698069467134,24,0.027648945135526737,0.017304060705029364,0.005882866768001697,3.370054164899084e-05
Channel 10,-0.0026847877186489504,3,0.0356750738006962,0.06995436358890027,0.011828301956654663,0.00013270064208359227
Channel 11,0.0007702928249093235,5,0.08917242570199682,0.25193968268998385,0.022447257413322628,0.0005032860143438609
Channel 12,0.017601176188568147,4,0.08755499292916802,0.4032331940506454,0.028398351855368136,0.0004966649848802726
Channel 13,-0.01789463723273944,1,0.28747578717070843,4.414521296381026,0.0939629852269608,0.008508824551070706
Channel 14,-0.004522008242985569,4,0.12307747873242753,0.6949337847156418,0.037280927690057336,0.0013694190108816545
Channel 15,0.002800323542806937,19,0.039581326535075255,0.0458829779991448,0.00957945489045643,8.392414405389081e-05
Channel 16,0.00037496784115036695,7,0.052032507125908484,0.09125772933681497,0.013509828225171109,0.000182374857791733
Channel 17,0.0038457954660441065,26,0.10586555262156983,0.17079566703915633,0.018482189645123565,0.0003268011913116673
Channel 18,0.0017747490944355119,17,0.0569153230438823,0.09245616258718244,0.013598247136096801,0.0001817625908261652
Channel 19,0.0015340262696794027,17,0.05670169984747095,0.095885894149708,0.01384816913167282,0.00018941855170334954
Channel 1,0.0022288509748070754,10,0.06503300450751377,0.1388436292294555,0.01666395086583344,0.00027271948179101256
Channel 2,0.0011042774336987317,10,0.05361942229924997,0.09672393289619609,0.013908553691609786,0.00019222843714181593
Channel 3,0.00254708850226102,9,0.044982941644333786,0.061216592975976925,0.011064953047887453,0.00011594552611360357
Channel 4,0.002334014622640437,11,0.03967287933353726,0.03960644133893347,0.00890016194672136,7.376525841916754e-05
Channel 5,0.0006926560518135386,10,0.035247827407873494,0.0291900459958594,0.007640686617819029,5.790031958560488e-05
Channel 6,0.00018197454199245212,14,0.04321292087406828,0.050086088295922836,0.010008605127181594,0.00010013906185791233
Channel 7,0.0006202683058295779,5,0.05078128554692769,0.07720958535285882,0.012426551038229297,0.00015403443793450091
Channel 8,0.0018986505483540971,9,0.043792755264327674,0.04575193261308708,0.009565765271329532,8.789899132140885e-05
Channel 9,0.0012212208749342048,11,0.04336550887150496,0.05285446539806553,0.01028148485366443,0.000104217550370756
Channel 10,2.1024722296240306e-05,8,0.013214120578016643,0.004252306122103687,0.0029162668335060453,8.504170205259738e-06
Channel 11,-0.0004319785244937805,13,0.04614261042485257,0.03815749605499571,0.008735845243019786,7.612838666436761e-05
Channel 12,-0.00012063797452397496,11,0.04318240327458094,0.05198483467915997,0.010196551836690673,0.0001039551158374227
Channel 13,0.0009743945302806281,7,0.03915408014225254,0.0511650406047704,0.010115833194035022,0.0001013806365089
Channel 14,0.00027865429716833435,8,0.040527372119182684,0.044735951747491856,0.009458958901220773,8.939425527765334e-05
Channel 15,-0.0005738243269109196,10,0.03848269295353114,0.033786526162831475,0.008220282983307993,6.724377796750817e-05
Channel 16,-0.00017923176553966082,9,0.03582766179813288,0.039314722756207246,0.008867324597217275,7.859732148663604e-05
Channel 17,-8.554273511353827e-05,9,0.04330447367253029,0.05741644720734397,0.010716011124233118,0.00011482557685515724
Channel 18,0.0006385178303230044,10,0.040588407318157355,0.037843410435114425,0.008699817289473891,7.527911585058845e-05
Channel 19,0.0008714281496103553,6,0.036376978588904936,0.03699036159044513,0.008601204751712999,7.322133616095694e-05
Channel 1,-0.0016228973268875948,10,0.04647830401921327,0.04596687856608175,0.009588209276614872,8.92999613985446e-05
Channel 2,-0.0012923917244397423,8,0.06469731091315307,0.17242126124046647,0.0185699359848367,0.0003431722461115326
Channel 3,0.00030764601668130354,15,0.03103639867862107,0.022442001574975473,0.006699552458929697,4.478935707837108e-05
Channel 4,0.0012478322216871618,14,0.0400390905273853,0.04616175594173687,0.00960851246986097,9.076642662999302e-05
Channel 5,-0.0004825156692448096,4,0.04769900799870673,0.0640417657223693,0.011317399500094472,0.00012785071007367186
