Channel,Mean,Zero Crossing Rate,Range,Energy,RMS,Variance
Channel 1,-0.0012713451845943326,34,0.05413579010542584,0.06920481398001334,0.011764762129343145,0.00013679330938163548
Channel 2,-0.00029784739259361615,40,0.06634473577605508,0.08536147246389231,0.013066099070793265,0.0001706342318585098
Channel 3,-0.0013953275010945218,32,0.058867939590165855,0.05529032678800394,0.010515733620437895,0.00010863371474069718
Channel 4,-0.0011373307111864955,8,0.040317913609984976,0.040414547804536294,0.00899050029804085,7.95355744624646e-05
Channel 5,-0.0006116835464215745,10,0.03028575670233613,0.028569370036598426,0.0075590171367180305,5.6764583312233985e-05
Channel 6,-0.0004825905084778666,36,0.03691076598097216,0.035388051103609694,0.008412853392709242,7.054320860834646e-05
Channel 7,-0.0012194808262415825,77,0.0923715579421252,0.16679743778790407,0.018264579808356066,0.0003321077420902373
Channel 8,-0.0028759224318799788,37,0.06076079938406186,0.0988991094931684,0.014064075475705354,0.00018952728915214634
Channel 9,-0.002871190282395239,49,0.14565556114029785,0.12689623067903053,0.015930865053664256,0.0002455487277203402
Channel 10,-0.00027380807321113676,28,0.03927684072334217,0.020885487443231692,0.006463046873299264,4.169600402550779e-05
Channel 11,-5.158633340774543e-05,57,0.03028575670233613,0.014986856277107708,0.005474825344631134,2.997105140442096e-05
Channel 12,0.0005363359185763555,80,0.16912702258460832,0.38671057513738516,0.027810450378855253,0.0007731334940572152
Channel 13,-0.00039078680847391055,47,0.08461083278715156,0.1341024031148091,0.016376959614947402,0.00026805209189994096
Channel 14,-0.002086032039887175,30,0.04883578268251701,0.07354706498659674,0.012128236886423083,0.00014274260030175764
Channel 15,-0.0017358529780164135,18,0.019969670825602887,0.009443865075432645,0.0043460016280329776,1.5874544589576835e-05
Channel 16,-0.0012026343740759082,31,0.024891106289732505,0.0154255490742547,0.005554376486025177,2.9404768710800443e-05
Channel 17,-0.002394000328354055,28,0.06748045165239269,0.10710713437416192,0.01463606056110468,0.0002084830311761645
Channel 18,-0.0019410389796747406,12,0.05735365175504904,0.07757058485209334,0.012455567819420626,0.0001513735373835699
Channel 19,-0.003132594219932278,18,0.05716436577565945,0.09294395721607633,0.013634071821438842,0.00017607476788539952
Channel 1,-0.0011102628161337826,75,0.0710768852607951,0.07726215244180215,0.012430780542009592,0.000153291621362715
Channel 2,-0.001017323400253489,68,0.08820726639555398,0.11215867865636436,0.014977227958228076,0.00022328241041202543
Channel 3,1.2013755667160287e-05,63,0.05971972649741906,0.06063543238322911,0.01101230515225846,0.00012127072043613299
Channel 4,-0.0006584371833308057,71,0.053567932167257026,0.04390354037966179,0.009370543247823127,8.737354123493098e-05
Channel 5,-0.0009612947503541672,57,0.033882190310738546,0.01795080317581782,0.005991794919023484,3.497751875457715e-05
Channel 6,-0.0009149196854037149,65,0.05394650412603623,0.039411428373714044,0.008878223738306447,7.798577871668885e-05
Channel 7,-0.0008939089416914691,77,0.05328400319817263,0.04376526599285019,0.009355775327876379,8.673145878966443e-05
Channel 8,0.005435814209096781,76,0.12218409969598734,0.2267790442520893,0.02129690326090107,0.0004240100123883602
Channel 9,0.0005431502138343805,86,0.1612716544399399,0.33815181909780967,0.02600583854052046,0.0006760086260408311
Channel 10,-0.0003387331641417699,69,0.029055397836303724,0.01249910545988011,0.004999821088775099,2.4883470763270728e-05
